Artikelnr.;VP;Inh;EH;Omschrijving;Merk;Aantal;Prijs;Bedrag;Btw;Cd
8108920;FL;75;CL;CHAMPAGNE GRUET CUVEE DES 3 BLANCS;Champagn;2;34,20;68,40;21%;10
8286980;FL;75;CL;FERRANDIERE GRAND BLANC;Domaine "A";4;7,95;31,80;21%;10
8551630;FL;75;CL;CAMPORE ETNA BIANCO DOC;Campore;2;14,85;29,70;21%;10
8555590;FL;37,5;CL;ASTROLABE LATE HARVEST CHENIN BLANC;Astrolab;1;14,95;14,95;21%;10
8559300;FL;75;CL;SITIAL CRIANZA RIBERA DEL DUERO;Sitial "A";6;6,45;38,70;21%;10
9030042;FL;75;CL;GONZALEZ BYASS NECTAR PEDRO XIMENEZ;Gonzalez;1;14,35;14,35;21%;10
9102170;FL;25;CL;SIR JAMES 101 G&T 0.0%;Sir Jame;3;1,90;5,70;9%;4
9102580;FL;25;CL;SIR JAMES 101 MOJITO 0.0%;Sir Jame;3;1,90;5,70;9%;4
9104500;FL;25;CL;SIR JAMES 101 PINK G&T 0.0%;Sir Jame;3;1,90;5,70;9%;4
9105920;FL;25;CL;SIR JAMES 101 PASSION MARTINI 0.0%;Sir Jame;3;1,90;5,70;9%;4
24118270;FL;553;GR;BBQ SAUCE ORIGINAL;Jack Dan "A";1;7,50;7,50;9%;5
24124450;PK;1;L;CLASSIC PEPERSAUS;Oscar;1;9,15;9,15;9%;5
24124470;PK;1;L;BEARNAISESAUS;Oscar;1;9,15;9,15;9%;5
25112200;FL;360;ML;DASHI IRI PONZU YUZU;Uchibori;1;9,50;9,50;9%;5
27122187;ROL;500;GR;ROOMBOTER ONGEZOUTEN;HANOS Se;1;3,95;3,95;9%;5
30100150;;1;KG;VARKENS SPARE RIB M/K DIK VAC.;Van der;2,959;9,65;28,55;9%;4
30102320;;1;KG;VARKENSNEK Z/B IBERICO DV;Van der;1,905;23,60;44,96;9%;4
30312050;;1;KG;RUNDER PICANHA REGIO RUND;Van der;2,14;38,25;81,86;9%;4
30316970;;1;KG;RUNDERDIAMANTHAAS NORLAND;Van der;1,945;19,50;37,93;9%;4
30317930;;1;KG;BONELESS BEEF RIBS SOUSVIDE GEGAARD;Van der;1,074;24,95;26,80;9%;4
31145001;PK;100;GR;PANCETTA GESNEDEN;Gran Bri;1;5,25;5,25;9%;4
31197652;PK;80;GR;HAM BELLOTA GESNEDEN;Consorci;1;14,50;14,50;9%;4
31537507;PK;100;GR;PROSCIUTTO CRUDO 100GR GIO;Gran Bri;1;14,50;14,50;9%;4
32629219;;1;KG;KIPSATE 100 GRAM GEMARINEERD;HANOS;1;18,50;18,50;9%;4
32804750;;1;KG;SAUCISSES ZWIJN MET APPEL EN CALVADOS;;0,564;18,24;10,29;9%;4
32804750;;1;KG;SAUCISSES ZWIJN MET APPEL EN CALVADOS;;0,55;18,25;10,04;9%;4
32805240;POT;450;GR;CHIMICHURRI (NL);Bresc;1;8,95;8,95;9%;4
34202087;PK;6;ST;PAN SUCRE SUIKERSLA/LITTLE GEM KL1 (ES);;1;3,50;3,50;9%;4
34205208;PK;200;GR;ASPERGE PUNT GROEN (PE);;2;6,25;12,50;9%;4
34206880;BK;125;GR;VELDSLA GEWASSEN (NL);HANOS;1;1,80;1,80;9%;4
34207160;ZAK;600;GR;BOSPEEN REGENBOOG (NL);;2;2,75;5,50;9%;4
34225259;ST;1;ST;COURGETTE GROEN KL1 (ES);;2;1,85;3,70;9%;4
34244309;;1;KG;KNOFLOOK WIT FRANS (FR);;0,116;9,48;1,10;9%;4
34246254;;1;ST;KOMKOMMER 400/500 KL1 (NL);;3;1,65;4,95;9%;4
34261059;;1;KG;PAPRIKA ROOD K1 (ES);;3;1,65;4,95;9%;4
34261451;;1;KG;PAPRIKA GEEL KL1 (ES);;0,474;5,51;2,61;9%;4
